1:64,90,44,51,48,36
2:56,67,83,71,51,75
3:20,55,58,62,77,45
4:76,52,57,48,68,36
5:93,30,82,52,38,57
6:74,39,92,86,62,65
7:63,46,62,39,85,37
8:36,36,20,95,83,84
9:93,81,56,88,45,47
10:94,43,19,92,83,87
11:72,65,71,40,42,52
12:82,61,85,53,79,44
13:36,93,5,54,65,69
14:58,72,74,93,99,47
15:86,52,6,37,90,35
16:42,78,48,65,39,66
17:44,58,72,63,49,92
18:78,76,94,37,69,100
19:64,69,40,5,95,63
20:93,65,92,89,32,69
21:62,81,82,97,98,79
22:59,87,71,66,48,93
23:36,45,68,90,55,81
24:88,44,82,50,51,68
25:61,98,96,81,92,72
26:45,35,50,92,31,50
27:66,73,98,73,42,94
28:88,98,82,53,44,91
29:93,53,42,44,93,73
30:81,100,54,99,92,39
31:59,73,55,70,77,97
32:80,70,40,88,90,72
33:82,42,61,52,54,40
34:67,35,47,95,71,58
35:39,45,51,74,81,81
36:63,47,50,47,37,35
37:46,60,72,52,71,77
38:57,36,45,41,53,36
39:77,38,53,56,48,83
40:51,73,69,71,94,77
41:36,99,55,99,69,97
42:45,52,56,57,82,36
43:52,65,72,52,51,100
44:58,92,98,37,46,66
45:86,83,52,91,41,88
46:57,85,68,76,38,40
47:88,94,74,58,89,74
48:35,97,67,37,38,65
49:45,93,98,90,90,98
50:62,40,100,55,36,47
51:62,57,40,70,82,96
52:78,71,74,46,74,48
53:54,62,52,42,61,82
54:89,54,57,46,74,57
55:93,93,53,100,53,42
56:96,80,87,35,60,97
57:60,88,96,68,42,47
58:81,54,79,57,89,66
59:40,74,88,94,96,68
60:45,43,88,91,45,70
61:88,93,100,66,96,42
62:55,92,83,55,72,83
63:47,73,36,42,90,46
64:90,80,45,86,76,68
65:80,92,87,60,75,63
66:50,49,65,92,92,87
67:73,73,99,98,98,98
68:81,85,46,82,38,80
69:42,71,48,62,43,73
70:67,93,54,46,81,61
71:84,43,42,61,67,79
72:69,98,50,88,84,48
73:99,86,93,54,80,35
74:84,66,78,44,39,46
75:90,69,71,42,92,90
76:49,86,64,91,61,87
77:61,52,54,39,51,39
78:80,57,54,83,67,63
79:90,42,38,36,39,100
80:69,94,98,75,94,99
81:52,38,94,75,88,99
82:61,58,91,100,56,64
83:87,87,89,69,59,93
84:51,81,98,83,65,91
85:81,81,58,43,81,80
86:40,44,69,48,71,51
87:64,44,67,89,76,80
88:81,41,71,84,93,37
89:59,60,43,76,92,65
90:46,64,46,77,36,51
91:43,75,69,48,88,88
92:89,46,43,96,51,51
93:99,93,59,44,82,91
94:55,100,90,37,35,67
95:99,73,61,68,80,71
96:100,54,88,95,79,93
97:70,92,67,42,35,41
98:86,37,54,52,57,49
99:92,58,99,45,57,78
100:70,38,84,83,54,58
101:59,99,79,95,55,96
102:60,60,58,52,88,73
103:46,63,87,38,93,85
104:95,59,69,69,65,85
105:54,92,97,89,76,91
106:85,58,40,67,61,36
107:94,44,45,84,75,78
108:70,50,46,92,46,70
109:76,77,89,51,96,73
110:93,79,63,90,71,71
111:36,42,51,80,54,53
112:86,37,74,54,95,98
113:43,44,37,87,100,57
114:69,64,80,35,72,97
115:65,62,70,80,71,67
116:85,88,88,42,91,38
117:68,99,90,72,59,87
118:72,67,59,42,81,79
119:55,91,70,94,80,75
120:70,56,54,88,82,79
121:96,83,50,65,80,98
122:90,57,56,79,87,64
123:50,56,48,81,40,51
124:99,60,89,35,81,42
125:42,72,56,50,85,54
126:86,59,46,83,90,50
127:86,99,84,89,65,43
128:78,44,57,97,72,67
129:90,83,89,36,60,95
130:78,40,100,88,73,68
131:64,36,43,81,85,100
132:72,54,42,66,76,50
133:47,90,80,48,78,40
134:89,79,80,52,61,41
135:47,73,98,71,69,58
136:90,36,90,70,66,54
137:91,96,68,52,82,65
138:83,35,36,55,97,65
139:49,47,100,61,78,91
140:47,81,93,80,45,37
141:90,36,58,85,72,70
142:45,56,51,84,71,72
143:73,55,44,55,83,81
144:37,98,35,66,88,82
145:87,67,78,98,73,98
146:50,55,43,37,69,61
147:48,59,82,61,47,41
148:74,36,94,62,53,51
149:44,58,67,95,59,36
150:66,62,43,86,71,37
151:53,43,54,83,43,47
152:59,98,73,85,66,45
153:56,57,84,98,87,63
154:91,41,69,74,100,36
155:83,40,78,66,46,58
156:52,36,56,61,76,36
157:82,57,57,40,73,81
158:40,38,83,43,70,63
159:84,47,86,51,82,62
160:86,66,91,62,66,93
161:36,86,74,71,91,91
162:47,46,80,51,68,59
163:41,66,50,86,60,76
164:42,98,80,96,61,100
165:38,64,37,56,65,57
166:45,59,73,37,53,75
167:90,48,64,48,83,36
168:81,36,76,72,48,87
169:98,65,91,57,96,70
170:94,66,43,82,39,35
171:77,97,61,43,55,48
172:79,63,90,94,92,40
173:46,74,67,44,88,93
174:36,81,71,52,76,49
175:86,82,94,86,42,87
176:40,47,43,92,82,36
177:50,41,87,65,40,96
178:66,76,36,67,71,48
179:93,45,75,49,55,93
180:95,40,54,43,91,100
181:69,85,82,79,93,71
182:55,71,91,98,45,97
183:48,62,55,78,54,97
184:69,55,45,94,42,96
185:97,67,38,49,60,88
186:91,70,82,62,55,56
187:76,78,76,59,42,44
188:52,91,96,60,67,82
189:38,59,59,73,85,56
190:58,47,76,69,57,54
191:62,60,47,90,71,69
192:69,80,84,94,86,80
